gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts
22300062,1610612744,Golden State,Warriors,GSW,warriors,240.000000:00,104,56,43,13,15,1,30,52,4,6,10,3,9,12,5,12
22300062,1610612756,Phoenix,Suns,PHX,suns,240.000000:00,108,68,41,27,13,1,15,24,3,2,5,2,10,12,6,12
22300061,1610612743,Denver,Nuggets,DEN,nuggets,240.000000:00,119,46,31,15,10,0,11,25,4,3,7,2,2,4,4,4
22300061,1610612747,Los Angeles,Lakers,LAL,lakers,240.000000:00,107,40,27,13,16,1,6,14,4,0,4,1,4,5,2,5
22300066,1610612753,Orlando,Magic,ORL,magic,240.000000:00,116,50,28,22,18,0,13,26,1,4,5,4,7,11,7,11
22300066,1610612745,Houston,Rockets,HOU,rockets,240.000000:00,86,55,32,23,14,1,9,23,0,0,0,3,5,6,2,8
22300073,1610612759,San Antonio,Spurs,SAS,spurs,240.000000:00,119,55,30,25,9,0,20,39,1,3,4,0,7,7,3,7
22300073,1610612742,Dallas,Mavericks,DAL,mavericks,240.000000:00,126,58,41,17,13,1,25,45,2,2,4,1,5,5,3,6
22300071,1610612763,Memphis,Grizzlies,MEM,grizzlies,240.000000:00,104,42,33,9,15,0,8,20,5,4,9,1,3,3,1,4
22300071,1610612740,New Orleans,Pelicans,NOP,pelicans,240.000000:00,111,47,27,20,17,0,6,14,2,3,5,2,0,2,2,2
22300070,1610612741,Chicago,Bulls,CHI,bulls,240.000000:00,104,39,23,16,19,1,6,12,3,3,6,4,2,6,3,6
22300070,1610612760,Oklahoma City,Thunder,OKC,thunder,240.000000:00,124,58,37,21,11,1,7,16,3,5,8,0,6,6,2,6
22300064,1610612754,Indiana,Pacers,IND,pacers,240.000000:00,143,48,35,13,13,0,15,33,1,3,4,0,5,5,4,5
22300064,1610612764,Washington,Wizards,WAS,wizards,240.000000:00,120,50,30,20,12,1,11,24,1,1,2,2,7,9,6,9
22300063,1610612766,Charlotte,Hornets,CHA,hornets,240.000000:00,116,55,38,17,12,0,6,11,6,1,7,1,6,7,2,7
22300063,1610612737,Atlanta,Hawks,ATL,hawks,240.000000:00,110,51,29,22,22,0,11,18,5,5,10,2,7,9,5,9
22300072,1610612762,Utah,Jazz,UTA,jazz,240.000000:00,114,60,33,27,14,1,5,11,2,4,6,1,9,10,5,10
22300072,1610612758,Sacramento,Kings,SAC,kings,240.000000:00,130,61,39,22,17,0,5,12,5,1,6,3,7,8,5,10
22300065,1610612752,New York,Knicks,NYK,knicks,240.000000:00,104,39,16,23,16,1,14,29,3,2,5,0,4,4,0,4
22300065,1610612738,Boston,Celtics,BOS,celtics,240.000000:00,108,45,33,12,20,0,6,11,3,3,6,0,3,3,3,3
