gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocks,blocksAgainst,foulsPersonal,foulsDrawn
22300062,1610612744,Golden State,Warriors,GSW,warriors,240:00,22,20,11,44,9,27,13,48,6,7,23,22
22300062,1610612756,Phoenix,Suns,PHX,suns,240:00,9,27,13,48,22,20,11,44,7,6,22,23
22300061,1610612743,Denver,Nuggets,DEN,nuggets,240:00,20,17,20,52,18,4,20,58,6,4,15,18
22300061,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,18,4,20,58,20,17,20,52,4,6,18,15
22300066,1610612753,Orlando,Magic,ORL,magic,240:00,23,19,5,54,14,10,11,32,6,3,20,24
22300066,1610612745,Houston,Rockets,HOU,rockets,240:00,14,10,11,32,23,19,5,54,3,6,24,20
22300073,1610612759,San Antonio,Spurs,SAS,spurs,240:00,16,13,19,46,18,19,19,56,5,3,23,20
22300073,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,18,19,19,56,16,13,19,46,3,5,20,23
22300071,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,28,23,2,50,23,25,7,46,7,5,19,21
22300071,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,23,25,7,46,28,23,2,50,5,7,21,19
22300070,1610612741,Chicago,Bulls,CHI,bulls,240:00,22,19,8,44,16,11,17,40,3,4,16,19
22300070,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,16,11,17,40,22,19,8,44,4,3,19,16
22300064,1610612754,Indiana,Pacers,IND,pacers,240:00,22,11,32,60,14,12,22,68,8,9,23,11
22300064,1610612764,Washington,Wizards,WAS,wizards,240:00,14,12,22,68,22,11,32,60,9,8,11,23
22300063,1610612766,Charlotte,Hornets,CHA,hornets,240:00,12,14,17,56,17,14,19,58,3,1,21,19
22300063,1610612737,Atlanta,Hawks,ATL,hawks,240:00,17,14,19,58,12,14,17,56,1,3,19,21
22300072,1610612762,Utah,Jazz,UTA,jazz,240:00,14,15,15,64,9,14,10,48,2,8,20,25
22300072,1610612758,Sacramento,Kings,SAC,kings,240:00,9,14,10,48,14,15,15,64,8,2,25,20
22300065,1610612752,New York,Knicks,NYK,knicks,240:00,11,20,7,24,14,4,18,42,0,11,22,22
22300065,1610612738,Boston,Celtics,BOS,celtics,240:00,14,4,18,42,11,20,7,24,11,0,22,22
22300068,1610612748,Miami,Heat,MIA,heat,240:00,25,19,12,48,9,17,16,40,3,13,18,23
22300068,1610612765,Detroit,Pistons,DET,pistons,240:00,9,17,16,40,25,19,12,48,13,3,23,18
22300067,1610612751,Brooklyn,Nets,BKN,nets,240:00,16,10,24,56,26,13,21,50,6,6,16,23
22300067,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,26,13,21,50,16,10,24,56,6,6,23,16
22300069,1610612761,Toronto,Raptors,TOR,raptors,240:00,14,14,34,38,11,21,12,44,11,9,18,14
22300069,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,11,21,12,44,14,14,34,38,9,11,14,18
22300075,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,17,12,18,48,16,3,20,46,4,4,23,28
22300075,1610612755,Philadelphia,76ers,PHI,sixers,240:00,16,3,20,46,17,12,18,48,4,4,28,23
22300076,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,29,6,16,60,22,14,6,36,7,3,23,21
22300076,1610612756,Phoenix,Suns,PHX,suns,240:00,22,14,6,36,29,6,16,60,3,7,21,23
22300080,1610612738,Boston,Celtics,BOS,celtics,240:00,6,23,9,52,16,16,9,36,6,6,19,16
22300080,1610612748,Miami,Heat,MIA,heat,240:00,16,16,9,36,6,23,9,52,6,6,16,19
22300081,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,18,9,17,48,15,8,17,38,8,10,16,17
22300081,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,15,8,17,38,18,9,17,48,10,8,17,16
22300083,1610612759,San Antonio,Spurs,SAS,spurs,265:00,19,13,12,56,26,13,15,76,4,2,17,26
22300083,1610612745,Houston,Rockets,HOU,rockets,265:00,26,13,15,76,19,13,12,56,2,4,26,17
22300077,1610612766,Charlotte,Hornets,CHA,hornets,240:00,26,7,19,48,25,19,14,54,7,6,23,29
22300077,1610612765,Detroit,Pistons,DET,pistons,240:00,25,19,14,54,26,7,19,48,6,7,29,23
22300087,1610612758,Sacramento,Kings,SAC,kings,240:00,18,8,5,54,26,9,11,44,3,3,16,24
22300087,1610612744,Golden State,Warriors,GSW,warriors,240:00,26,9,11,44,18,8,5,54,3,3,24,16
22300086,1610612757,Portland,Trail Blazers,POR,blazers,240:00,15,22,7,38,18,14,13,50,1,5,24,16
22300086,1610612753,Orlando,Magic,ORL,magic,240:00,18,14,13,50,15,22,7,38,5,1,16,24
22300078,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,23,8,22,44,26,15,9,46,7,9,23,18
22300078,1610612743,Denver,Nuggets,DEN,nuggets,240:00,26,15,9,46,23,8,22,44,9,7,18,23
22300079,1610612737,Atlanta,Hawks,ATL,hawks,240:00,20,14,17,54,24,12,16,40,6,6,20,21
22300079,1610612752,New York,Knicks,NYK,knicks,240:00,24,12,16,40,20,14,17,54,6,6,21,20
22300085,1610612762,Utah,Jazz,UTA,jazz,240:00,15,33,18,46,16,8,5,48,4,6,24,22
22300085,1610612746,LA,Clippers,LAC,clippers,240:00,16,8,5,48,15,33,18,46,6,4,22,24
22300082,1610612741,Chicago,Bulls,CHI,bulls,265:00,23,24,14,50,16,10,12,48,5,2,22,29
22300082,1610612761,Toronto,Raptors,TOR,raptors,265:00,16,10,12,48,23,24,14,50,2,5,29,22
22300084,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,16,11,10,50,13,9,20,42,2,4,15,28
22300084,1610612751,Brooklyn,Nets,BKN,nets,240:00,13,9,20,42,16,11,10,50,4,2,28,15
22300093,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,22,11,12,58,15,9,22,38,3,1,17,12
22300093,1610612748,Miami,Heat,MIA,heat,240:00,15,9,22,38,22,11,12,58,1,3,12,17
22300094,1610612756,Phoenix,Suns,PHX,suns,240:00,27,7,23,64,11,15,6,50,7,5,19,20
22300094,1610612762,Utah,Jazz,UTA,jazz,240:00,11,15,6,50,27,7,23,64,5,7,20,19
22300088,1610612765,Detroit,Pistons,DET,pistons,240:00,10,20,11,60,17,10,8,36,4,5,18,20
22300088,1610612741,Chicago,Bulls,CHI,bulls,240:00,17,10,8,36,10,20,11,60,5,4,20,18
22300091,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,7,20,9,58,12,15,15,62,6,4,16,20
22300091,1610612754,Indiana,Pacers,IND,pacers,240:00,12,15,15,62,7,20,9,58,4,6,20,16
22300090,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,21,7,25,52,14,19,21,50,5,3,22,17
22300090,1610612752,New York,Knicks,NYK,knicks,240:00,14,19,21,50,21,7,25,52,3,5,17,22
22300089,1610612764,Washington,Wizards,WAS,wizards,240:00,18,6,8,42,14,14,14,36,5,8,15,21
22300089,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,14,14,14,36,18,6,8,42,8,5,21,15
22300092,1610612761,Toronto,Raptors,TOR,raptors,240:00,10,17,19,34,24,13,15,50,5,7,19,18
22300092,1610612755,Philadelphia,76ers,PHI,sixers,240:00,24,13,15,50,10,17,19,34,7,5,18,19
22300097,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,22,17,7,44,22,18,25,50,3,2,22,17
22300097,1610612737,Atlanta,Hawks,ATL,hawks,240:00,22,18,25,50,22,17,7,44,2,3,17,22
22300100,1610612758,Sacramento,Kings,SAC,kings,265:00,10,20,7,56,15,16,22,44,7,4,28,22
22300100,1610612747,Los Angeles,Lakers,LAL,lakers,265:00,15,16,22,44,10,20,7,56,4,7,22,28
22300096,1610612745,Houston,Rockets,HOU,rockets,240:00,14,5,12,46,13,19,11,24,4,6,20,18
22300096,1610612744,Golden State,Warriors,GSW,warriors,240:00,13,19,11,24,14,5,12,46,6,4,18,20
22300098,1610612755,Philadelphia,76ers,PHI,sixers,240:00,17,12,23,50,13,12,16,50,17,9,20,26
22300098,1610612757,Portland,Trail Blazers,POR,blazers,240:00,13,12,16,50,17,12,23,50,9,17,26,20
22300099,1610612746,LA,Clippers,LAC,clippers,240:00,34,20,18,54,6,8,13,30,5,6,16,23
22300099,1610612759,San Antonio,Spurs,SAS,spurs,240:00,6,8,13,30,34,20,18,54,6,5,23,16
22300095,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,15,14,11,58,16,10,17,72,4,5,14,21
22300095,1610612743,Denver,Nuggets,DEN,nuggets,240:00,16,10,17,72,15,14,11,58,5,4,21,14
22300111,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,14,4,7,54,20,20,11,44,10,3,17,22
22300111,1610612753,Orlando,Magic,ORL,magic,240:00,20,20,11,44,14,4,7,54,3,10,22,17
22300103,1610612764,Washington,Wizards,WAS,wizards,240:00,30,11,20,48,23,17,16,52,4,6,13,21
22300103,1610612738,Boston,Celtics,BOS,celtics,240:00,23,17,16,52,30,11,20,48,6,4,21,13
22300101,1610612766,Charlotte,Hornets,CHA,hornets,240:00,19,13,16,74,13,15,28,64,5,8,23,19
22300101,1610612751,Brooklyn,Nets,BKN,nets,240:00,13,15,28,64,19,13,16,74,8,5,19,23
22300102,1610612754,Indiana,Pacers,IND,pacers,240:00,21,15,17,44,14,18,10,54,5,6,24,17
