,gameId,GAME_DATE,HOME_TEAM_ABBREVIATION,HOME_TEAM_PTS,AWAY_TEAM_ABBREVIATION,AWAY_TEAM_PTS
0,0022300062,2023-10-24,GSW,104,PHX,108
1,0022300061,2023-10-24,DEN,119,LAL,107
2,0022300066,2023-10-25,ORL,116,HOU,86
3,0022300072,2023-10-25,UTA,114,SAC,130
4,0022300074,2023-10-25,LAC,123,POR,111
5,0022300071,2023-10-25,MEM,104,NOP,111
6,0022300070,2023-10-25,CHI,104,OKC,124
7,0022300067,2023-10-25,BKN,113,CLE,114
8,0022300069,2023-10-25,TOR,97,MIN,94
9,0022300068,2023-10-25,MIA,103,DET,102
10,0022300065,2023-10-25,NYK,104,BOS,108
11,0022300063,2023-10-25,CHA,116,ATL,110
12,0022300064,2023-10-25,IND,143,WAS,120
13,0022300073,2023-10-25,SAS,119,DAL,126
14,0022300076,2023-10-26,LAL,100,PHX,95
15,0022300075,2023-10-26,MIL,118,PHI,117
16,0022300083,2023-10-27,SAS,126,HOU,122
17,0022300087,2023-10-27,SAC,114,GSW,122
18,0022300086,2023-10-27,POR,97,ORL,102
19,0022300084,2023-10-27,DAL,125,BKN,120
20,0022300078,2023-10-27,MEM,104,DEN,108
21,0022300085,2023-10-27,UTA,120,LAC,118
22,0022300082,2023-10-27,CHI,104,TOR,103
23,0022300081,2023-10-27,CLE,105,OKC,108
24,0022300080,2023-10-27,BOS,119,MIA,111
25,0022300079,2023-10-27,ATL,120,NYK,126
26,0022300077,2023-10-27,CHA,99,DET,111
27,0022300094,2023-10-28,PHX,126,UTA,104
28,0022300088,2023-10-28,DET,118,CHI,102
29,0022300092,2023-10-28,TOR,107,PHI,114
30,0022300093,2023-10-28,MIN,106,MIA,90
31,0022300089,2023-10-28,WAS,113,MEM,106
32,0022300091,2023-10-28,CLE,113,IND,125
33,0022300090,2023-10-28,NOP,96,NYK,87
34,0022300098,2023-10-29,PHI,126,POR,98
35,0022300099,2023-10-29,LAC,123,SAS,83
36,0022300100,2023-10-29,SAC,132,LAL,127
37,0022300097,2023-10-29,MIL,110,ATL,127
38,0022300096,2023-10-29,HOU,95,GSW,106
39,0022300095,2023-10-29,OKC,95,DEN,128
40,0022300111,2023-10-30,LAL,106,ORL,103
41,0022300108,2023-10-30,NOP,102,GSW,130
42,0022300103,2023-10-30,WAS,107,BOS,126
43,0022300102,2023-10-30,IND,105,CHI,112
44,0022300110,2023-10-30,DEN,110,UTA,102
45,0022300107,2023-10-30,MIL,122,MIA,114
46,0022300106,2023-10-30,MEM,110,DAL,125
47,0022300105,2023-10-30,TOR,91,POR,99
48,0022300104,2023-10-30,ATL,127,MIN,113
49,0022300101,2023-10-30,CHA,121,BKN,133
50,0022300109,2023-10-30,OKC,124,DET,112
51,0022300112,2023-10-31,CLE,91,NYK,109
52,0022300113,2023-10-31,PHX,114,SAS,115
53,0022300114,2023-10-31,LAC,118,ORL,102
54,0022300127,2023-11-01,LAL,130,LAC,125
55,0022300126,2023-11-01,GSW,102,SAC,101
56,0022300120,2023-11-01,NYK,89,CLE,95
57,0022300117,2023-11-01,ATL,130,WAS,121
58,0022300125,2023-11-01,UTA,133,MEM,109
59,0022300116,2023-11-01,TOR,130,MIL,111
60,0022300124,2023-11-01,DAL,114,CHI,105
61,0022300123,2023-11-01,MIN,110,DEN,89
62,0022300121,2023-11-01,OKC,106,NOP,110
63,0022300122,2023-11-01,HOU,128,CHA,119
64,0022300119,2023-11-01,MIA,105,BKN,109
65,0022300118,2023-11-01,BOS,155,IND,104
66,0022300115,2023-11-01,DET,101,POR,110
67,0022300131,2023-11-02,PHX,121,SAS,132
68,0022300129,2023-11-02,NOP,125,DET,116
69,0022300128,2023-11-02,PHI,114,TOR,99
70,0022300130,2023-11-02,UTA,113,ORL,115
71,0022300001,2023-11-03,IND,121,CLE,116
72,0022300004,2023-11-03,CHI,107,BKN,109
73,0022300003,2023-11-03,MIA,121,WAS,114
74,0022300005,2023-11-03,OKC,139,GSW,141
75,0022300007,2023-11-03,POR,115,MEM,113
76,0022300006,2023-11-03,DEN,125,DAL,114
77,0022300002,2023-11-03,MIL,110,NYK,105
78,0022300139,2023-11-04,DEN,123,CHI,101
79,0022300135,2023-11-04,NOP,105,ATL,123
80,0022300132,2023-11-04,PHI,112,PHX,100
81,0022300138,2023-11-04,MIN,123,UTA,95
82,0022300136,2023-11-04,BKN,114,BOS,124
83,0022300137,2023-11-04,HOU,107,SAC,89
84,0022300133,2023-11-04,IND,124,CHA,125
85,0022300134,2023-11-04,ORL,120,LAL,101
86,0022300141,2023-11-05,SAS,116,TOR,123
87,0022300142,2023-11-05,CLE,115,GSW,104
88,0022300140,2023-11-05,DET,106,PHX,120
89,0022300143,2023-11-05,DAL,124,CHA,118
90,0022300144,2023-11-05,POR,100,MEM,112
91,0022300145,2023-11-06,DET,109,GSW,120
92,0022300149,2023-11-06,BKN,125,MIL,129
93,0022300151,2023-11-06,NYK,111,LAC,97
94,0022300155,2023-11-06,OKC,126,ATL,117
95,0022300152,2023-11-06,CHI,130,UTA,113
96,0022300156,2023-11-06,DEN,134,NOP,116
97,0022300154,2023-11-06,MIN,114,BOS,109
98,0022300153,2023-11-06,HOU,122,SAC,97
99,0022300150,2023-11-06,MIA,108,LAL,107
100,0022300147,2023-11-06,ORL,102,DAL,117
101,0022300146,2023-11-06,IND,152,SAS,111
102,0022300148,2023-11-06,PHI,146,WAS,128
103,0022300165,2023-11-08,MIL,120,DET,118
104,0022300163,2023-11-08,HOU,128,LAL,94
105,0022300167,2023-11-08,OKC,128,CLE,120
106,0022300162,2023-11-08,CHI,115,PHX,116
107,0022300170,2023-11-08,SAC,121,POR,118
108,0022300161,2023-11-08,NYK,126,SAS,105
109,0022300159,2023-11-08,PHI,106,BOS,103
110,0022300158,2023-11-08,IND,134,UTA,118
111,0022300164,2023-11-08,MEM,102,MIA,108
112,0022300157,2023-11-08,CHA,116,WAS,132
113,0022300168,2023-11-08,DAL,116,TOR,127
114,0022300166,2023-11-08,MIN,122,NOP,101
115,0022300169,2023-11-08,DEN,108,GSW,105
116,0022300160,2023-11-08,BKN,100,LAC,93
